MLO;SHIPPER;CONSIGNEE
ACLE;ACL;ACL
ALI;HAMBURGSUD;HAMBURGSUD
APCC;APL;APL
BHL;BULKHAUL;BULKHAUL
BKMN;TRANSATLANTIC CONTAINER;TRANSATLANTIC
BMCS;BRESS MUNDIAL CONTAINER SERVICE;BRESS MUNDIAL CONTAINER SERVICE
BOST;BACKMAN-TRUMMER;BOSCHMANS STEINACHER 
BRUH;SCANDI BULK;BRUHN SPEDITION
CMA;CMA CGM;CMA CGM
COS;COSCO;COSCO
COSH;COSCO;COSCO
DAL;SAFE SHIPPING;DAL
DBCG;TRANSITAINER SHIPPING OY;DB SCHENKER MAINZ
DHAR;DEN HARTHOGH GLOBAL BV;DEN HARTHOGH
DHL;DHL;DHL
DIAM;DIAMOND LINE;DIAMOND LINE
EMSK;EIMSKIP;EIMSKIP
EVEH;EVEH;EVEH
EVER;EVER;EVER
EVMA;EVMA;EVMA
EVMS;EVMS;EVMS
FES;FESCO;FESCO
GFSO;G-SOLUTIONS;GFSO
GFSY;GLOBAL FREIGHT SOLUTIONS OY;MENZELL DÖHLE SHIPPING
GZIM;ZIM;ZIM
HL;HL;HL
HMM;HYUNDAI;HMM
HOYR;HOYER;HOYER
HSL;HAMBURGSUD;HAMBURGSUD
HTSU;EVER;EVER
KRCH;KRAUS CHEMIE;KRAUS CHEMIE
KRCN;MOONWAY OY;KRICON
KULA;KUHNE NAGEL;KUHNE NAGEL
LES;LESCHACO;LESCHACO
LT;LT;LT
MACA;MACANDREWS;MACANDREWS
MANN;MANN LINES;MANN LINES
MNAK;MISNAK INTERNATIONAL;MISNAK INTERNATIONAL
MOOW;MOONWAY OY;TANK MANAGEMENT
MSCA;MSC;MSC
MSK;MAERSK;MAERSK
MSLO;M&S LOGISTICS;MSLO
NEWP;NEWPORT EUROPÉ;NEWPORT
OCEN;OCEN;OCEN
ONE;ONE;ONE
OOCL;OOCL;OOCL
OUTS;OUTOKUMPU STAINLESS OY;OUTOKUMPU STAINLESS OY
RAUH;BOLIDEN;UMICORE
SAM;SAMSKIP;SAMSKIP
SEGO;SEALAND;SEGO
SELD;MAERSK;MAERSK
SUT;MOONWAY OY;SUTTONS
TACF;TRANSATLANTIC CONTAINER;TRANSATLANTIC CONTAINER
TANK;TANK MANAGEMENT;TANK MANAGEMENT
TBA;TO BE ANNOUNCED;TO BE ANNOUNCED
TOSS;TOSS;TOSS
UNFR;UNIFEEDER;UNIFEEDER
VOTG;SCANDI BULK;VOTG
WEC;W.E.C LINES BV;WEC
XCLUK;X-PRESS;X-PRESS
YML;YML;YML
VOTG;VTG TANK CONTAINER;VTG TANK CONTAINER
